VideoID,Username,Comment,Timestamp,Date,Clean_Comment
_5AKKX1MYR8,@RiriJeChannel,Merinding,2025-05-18T09:48:00Z,2025-05-18T09:48:00Z,merinding
_5AKKX1MYR8,@septianadiwirawan3072,"Kala nanti badai 'kan datang
Angin akan buat kau goyah
Maafkan, hidup memang
Ingin kau lebih kuat

Andaikan, saat itu datang
Kami tak ada menemani
Aku ingin kau mendengar
Nyanyianku di sini

Sedikit, demi sedikit
Engkau akan berteman pahit
Luapkanlah saja bila harus menangis
Anakku, ingatlah semua
Lelah tak akan tersia
Usah, kau takut pada keras dunia

Akhirnya takkan ada akhir
Doaku agar kau selalu
Arungi hidup berbalut senyuman di hati

Doaku agar kau selalu
Ingat bahagia meski kadang hidup tak baik saja

Nyanyian ini bukan sekedar nada
Aku ingin kau mendengarnya
Dengan hatimu bukan telinga
Ingatlah ini bukan sekedar kata
Maksudnya kelak akan menjadi makna
Ungkapan cintaku dari hati",2025-05-18T09:35:06Z,2025-05-18T09:35:06Z,kala nanti badai kan datang angin akan buat kau goyah maafkan hidup memang ingin kau lebih kuat andaikan saat itu datang kami tak ada menemani aku ingin kau mendengar nyanyianku di sini sedikit demi sedikit engkau akan berteman pahit luapkanlah saja bila harus menangis anakku ingatlah semua lelah tak akan tersia usah kau takut pada keras dunia akhirnya takkan ada akhir doaku agar kau selalu arungi hidup berbalut senyuman di hati doaku agar kau selalu ingat bahagia meski kadang hidup tak baik saja nyanyian ini bukan sekedar nada aku ingin kau mendengarnya dengan hatimu bukan telinga ingatlah ini bukan sekedar kata maksudnya kelak akan menjadi makna ungkapan cintaku dari hati
_5AKKX1MYR8,@yudidotcom,"Saran, saya klik CC biar liriknya tau dan pas... Ternyata ngaco mbae mase.. Njaluk tulung di edit CC nya biar bisa lihat liriknya..",2025-05-18T04:51:13Z,2025-05-18T04:51:13Z,saran saya klik cc biar liriknya tau dan pas ternyata ngaco mbae mase njaluk tulung di edit cc nya biar bisa lihat liriknya
_5AKKX1MYR8,@donnievai,Woi enak kali suaranya,2025-05-18T02:03:11Z,2025-05-18T02:03:11Z,woi enak kali suaranya
_5AKKX1MYR8,@sinduaninditazahra4478,Bikin sedih😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2025-05-17T12:23:42Z,2025-05-17T12:23:42Z,bikin sedih
_5AKKX1MYR8,@fakhriazzumar,"Shailene, anak Ayah Bunda.. kami selalu sayang dan mencintaimu ya ❤️❤️❤️",2025-05-17T11:16:09Z,2025-05-17T11:16:09Z,shailene anak ayah bunda kami selalu sayang dan mencintaimu ya
_5AKKX1MYR8,@ajiedarmawan1774,Just nice.. Ga ada obat ini❤,2025-05-17T11:13:23Z,2025-05-17T11:13:23Z,just nice ga ada obat ini
_5AKKX1MYR8,@saheadtv6307,Mrinding,2025-05-17T05:09:03Z,2025-05-17T05:09:03Z,mrinding
_5AKKX1MYR8,@andilaw9540,gw nyanyi dan gw menangis,2025-05-17T04:04:21Z,2025-05-17T04:04:21Z,gw nyanyi dan gw menangis
_5AKKX1MYR8,@muhammadbasyirhamid9986,Versi lengkap donk,2025-05-17T00:22:21Z,2025-05-17T00:22:21Z,versi lengkap donk
